action
"[0.00342, -0.01632, 0]"
"[0.00351999, -0.01632, 0]"
"[0.00361999, -0.01632, 0]"
"[0.00371999, -0.01632, 0]"
"[0.00381999, -0.01632, 0]"
"[0.00391999, -0.01632, 0]"
"[0.00401999, -0.01632, 0]"
"[0.00412, -0.01632, 0]"
"[0.00414, -0.01632, 0.6]"
"[0.00414, -0.01632, 1.6]"
"[0.00414, -0.01632, 2.6]"
"[0.00414, -0.01632, 3.6]"
"[0.00414, -0.01632, 4.6]"
"[0.00414, -0.01632, 5.6]"
"[0.00414, -0.01632, 6.6]"
"[0.00414, -0.01632, 7.6]"
"[0.00414, -0.01632, 8.6]"
"[0.00414, -0.01632, 9.6]"
"[0.00414, -0.01632, 10.6]"
"[0.00414, -0.01632, 11.6]"
"[0.00414, -0.01632, 12.6]"
"[0.00414, -0.01632, 13.6]"
"[0.00414, -0.01632, 14.6]"
"[0.00414, -0.01632, 15.6]"
"[0.00414, -0.01632, 16.6]"
"[0.00414, -0.01632, 17.6]"
"[0.00414, -0.01632, 18.6]"
"[0.00414, -0.01632, 19.6]"
"[0.00425999, -0.0168, 19.7]"
"[0.00445999, -0.0176, 19.2]"
"[0.00465999, -0.0184, 18.7]"
"[0.00485999, -0.0192, 18.2]"
"[0.00505999, -0.02, 17.7]"
"[0.00525999, -0.0208, 17.2]"
"[0.00545999, -0.0216, 16.7]"
"[0.00565999, -0.0224, 16.2]"
"[0.00585999, -0.0232, 15.7]"
"[0.00605999, -0.024, 15.2]"
"[0.00625999, -0.0248, 14.7]"
"[0.00645999, -0.0256, 14.2]"
"[0.00665999, -0.0264, 13.7]"
"[0.00685998, -0.0272, 13.2]"
"[0.00705998, -0.028, 12.7]"
"[0.00725998, -0.0287999, 12.2]"
"[0.00745998, -0.0295999, 11.7]"
"[0.00765998, -0.0303999, 11.2]"
"[0.00785998, -0.0311999, 10.7]"
"[0.00805998, -0.0319999, 10.2]"
"[0.00825998, -0.0328, 9.69996]"
"[0.00845999, -0.0336, 9.29996]"
"[0.00865999, -0.0344, 9.29996]"
"[0.00885999, -0.0352, 9.29996]"
"[0.00905999, -0.036, 9.29996]"
"[0.00925999, -0.0368, 9.29996]"
"[0.00945999, -0.0376, 9.29996]"
"[0.00965999, -0.0384, 9.29996]"
"[0.00974, -0.03824, 9.29996]"
"[0.00974, -0.03704, 9.29996]"
"[0.00974, -0.03584, 9.29996]"
"[0.00974, -0.03464, 9.29996]"
"[0.00974, -0.03344, 9.29996]"
"[0.00974, -0.0322399, 9.29996]"
"[0.00974, -0.0310399, 9.29996]"
"[0.00974, -0.0298399, 9.29996]"
"[0.00974, -0.0286399, 9.29996]"
"[0.00974, -0.0274399, 9.29996]"
"[0.00974, -0.0262399, 9.29996]"
"[0.00974, -0.0250399, 9.29996]"
"[0.00974, -0.0238399, 9.29996]"
"[0.00974, -0.0226399, 9.29996]"
"[0.00974, -0.0214399, 9.29996]"
"[0.00974, -0.0202399, 9.29996]"
"[0.00974, -0.0190399, 9.29996]"
"[0.00974, -0.0178399, 9.29996]"
"[0.00974, -0.0173599, 9.69996]"
"[0.00974, -0.0173599, 10.7]"
"[0.00974, -0.0173599, 11.7]"
"[0.00974, -0.0173599, 12.7]"
"[0.00974, -0.0173599, 13.7]"
"[0.00974, -0.0173599, 14.7]"
"[0.00974, -0.0173599, 15.7]"
"[0.00974, -0.0173599, 16.7]"
"[0.00974, -0.0173599, 17.7]"
"[0.00974, -0.0173599, 18.7]"
"[0.00974, -0.0173599, 19.7]"
"[0.00974, -0.0173599, 20.7]"
"[0.00974, -0.0173599, 21.7]"
"[0.00974, -0.0173599, 22.7]"
"[0.00974, -0.0173599, 23.7]"
"[0.00978, -0.0175199, 24.4]"
"[0.00998, -0.0183199, 23.9]"
"[0.01018, -0.0191199, 23.4]"
"[0.01038, -0.0199199, 22.9]"
"[0.01058, -0.0207199, 22.4]"
"[0.01078, -0.0215199, 21.9]"
"[0.01098, -0.0223199, 21.4]"
"[0.01118, -0.0231199, 20.9]"
"[0.01138, -0.0239199, 20.4]"
"[0.01158, -0.0247199, 19.9]"
"[0.01178, -0.0255199, 19.4]"
"[0.01198, -0.0263199, 18.9]"
"[0.01218, -0.0271199, 18.4]"
"[0.01238, -0.0279199, 17.9]"
"[0.01258, -0.0287199, 17.4]"
"[0.01278, -0.0295199, 16.9]"
"[0.01298, -0.0303199, 16.4]"
"[0.01318, -0.0311199, 15.9]"
"[0.01338, -0.0319199, 15.4]"
"[0.01358, -0.0327199, 14.9]"
"[0.01378, -0.0335199, 14.4]"
"[0.01398, -0.0343199, 14.1999]"
"[0.01418, -0.0351199, 14.1999]"
"[0.01438, -0.0359199, 14.1999]"
"[0.01458, -0.0367199, 14.1999]"
"[0.01478, -0.0375199, 14.0999]"
"[0.01498, -0.0383199, 14.0999]"
"[0.01518, -0.0391199, 14.0999]"
"[0.01538, -0.03992, 14.0999]"
"[0.01558, -0.04072, 14.0999]"
"[0.01578, -0.04152, 14.0999]"
"[0.01598, -0.04232, 14.0999]"
"[0.01618, -0.04312, 14.0999]"
"[0.01638, -0.04392, 14.0999]"
"[0.01658, -0.04472, 14.0999]"
"[0.01678, -0.04552, 14.0999]"
"[0.0169801, -0.04632, 14.0999]"
"[0.0171801, -0.04712, 14.0999]"
"[0.0173801, -0.04792, 14.0999]"
"[0.0175801, -0.04872, 14.0999]"
"[0.0177801, -0.04952, 14.0999]"
"[0.0179801, -0.05032, 14.0999]"
"[0.0179801, -0.04912, 14.0999]"
"[0.0179801, -0.04792, 14.0999]"
"[0.0179801, -0.04672, 14.0999]"
"[0.0179801, -0.04552, 14.0999]"
"[0.0179801, -0.04432, 14.0999]"
"[0.0179801, -0.04312, 14.0999]"
"[0.0179801, -0.04192, 14.0999]"
"[0.0179801, -0.04072, 14.0999]"
"[0.0179801, -0.03952, 14.0999]"
"[0.0179801, -0.0383199, 14.0999]"
"[0.0179801, -0.0371199, 14.0999]"
"[0.0179801, -0.0359199, 14.0999]"
