action
"[-0.000460975, -0.0718694, 4.11589]"
"[-0.000452848, -0.0718636, 4.11601]"
"[-0.000458303, -0.0718414, 4.1158]"
"[-0.000463412, -0.0717956, 4.11556]"
"[-0.000462705, -0.0717832, 4.11544]"
"[-0.000464734, -0.0717834, 4.11538]"
"[-0.000464711, -0.0717847, 4.11541]"
"[-0.000464669, -0.0717928, 4.11541]"
"[-0.00047693, -0.0718129, 4.11515]"
"[-0.000488226, -0.0718975, 4.11514]"
"[-0.000521971, -0.0719679, 4.11438]"
"[-0.000585728, -0.0720799, 4.11382]"
"[-0.000623765, -0.0722079, 4.11355]"
"[-0.000693401, -0.0723244, 4.11227]"
"[-0.000753945, -0.0724529, 4.11021]"
"[-0.000817324, -0.0725732, 4.10877]"
"[-0.000885575, -0.0726779, 4.10742]"
"[-0.000980311, -0.0727633, 4.10575]"
"[-0.00113903, -0.0728604, 4.10481]"
"[-0.0012858, -0.0729744, 4.10379]"
"[-0.00144696, -0.0731237, 4.10199]"
"[-0.00160182, -0.0733055, 4.09982]"
"[-0.00177179, -0.0735195, 4.09725]"
"[-0.00199201, -0.0738104, 4.09391]"
"[-0.00213095, -0.0741458, 4.08957]"
"[-0.00226552, -0.0744295, 4.08699]"
"[-0.00244032, -0.0746499, 4.08464]"
"[-0.00261015, -0.0748774, 4.08185]"
"[-0.00275389, -0.0751056, 4.07946]"
"[-0.00289332, -0.0753596, 4.07556]"
"[-0.00307811, -0.0756529, 4.07152]"
"[-0.00332196, -0.0759293, 4.06746]"
"[-0.00360874, -0.0762281, 4.0646]"
"[-0.00385566, -0.0765178, 4.06122]"
"[-0.00397407, -0.0768259, 4.05523]"
"[-0.00410391, -0.0772144, 4.05077]"
"[-0.00422555, -0.0776251, 4.04336]"
"[-0.0043402, -0.0779973, 4.03744]"
"[-0.0044574, -0.0782695, 4.03591]"
"[-0.00457245, -0.0785749, 4.03566]"
"[-0.00465344, -0.0788971, 4.03524]"
"[-0.00472509, -0.0791016, 4.03338]"
"[-0.00478514, -0.0792343, 4.03025]"
"[-0.00482356, -0.0793605, 4.02808]"
"[-0.00485405, -0.0794061, 4.02736]"
"[-0.00487391, -0.0794155, 4.02665]"
"[-0.00489762, -0.0794787, 4.02627]"
"[-0.00494435, -0.0796045, 4.0256]"
"[-0.00504381, -0.0797744, 4.02344]"
"[-0.00512411, -0.0799286, 4.02032]"
"[-0.00518878, -0.0800919, 4.01662]"
"[-0.00526174, -0.0802642, 4.01244]"
"[-0.00533672, -0.0804719, 4.00856]"
"[-0.00538659, -0.0806975, 4.00496]"
"[-0.00542298, -0.0809337, 4.00067]"
"[-0.00545447, -0.0811088, 3.99785]"
"[-0.00550273, -0.0812296, 3.99695]"
"[-0.00556722, -0.0812637, 4.00108]"
"[-0.00557289, -0.0812463, 4.02124]"
"[-0.00545879, -0.081175, 4.13176]"
"[-0.0054774, -0.0811875, 4.63822]"
"[-0.00584259, -0.0813084, 5.55589]"
"[-0.00654877, -0.0815475, 6.56133]"
"[-0.00704767, -0.0819155, 7.57912]"
"[-0.00738841, -0.0823407, 8.49441]"
"[-0.00762622, -0.0827149, 9.31345]"
"[-0.00773829, -0.0830781, 10.0089]"
