observation
"[0.00711694, 0.000109068, -0.041622, -0.0475984, 0.998722, -0.0150369, 0.00760276, -1.57335, -1.12071, 1.80571]"
"[0.00712825, 0.000127824, -0.0415837, -0.0476837, 0.998717, -0.0150747, 0.00764006, -1.58926, -1.07139, 1.76172]"
"[0.00711507, 0.000142023, -0.0415875, -0.0477328, 0.998715, -0.0151024, 0.00761294, -1.63257, -1.04927, 1.63857]"
"[0.00708448, 0.000153819, -0.0415994, -0.0477607, 0.998714, -0.0151001, 0.00754739, -1.65539, -1.07446, 1.61175]"
"[0.00704214, 0.000166097, -0.0415961, -0.0477804, 0.998714, -0.0150934, 0.00745378, -1.755, -1.05362, 1.71471]"
"[0.00701106, 0.000177363, -0.0415195, -0.0477969, 0.998713, -0.0150785, 0.00741074, -1.75238, -1.07313, 1.92997]"
"[0.00696824, 0.000192261, -0.0414048, -0.0478169, 0.998713, -0.0150588, 0.00736726, -1.80754, -1.08202, 2.19076]"
"[0.00696128, 0.000202093, -0.0411465, -0.0478366, 0.998712, -0.0150362, 0.00743116, -1.70468, -1.09575, 1.9518]"
"[0.00697942, 0.000213207, -0.0408196, -0.0478555, 0.99871, -0.0150116, 0.00757816, -1.76588, -1.15233, 2.36213]"
"[0.00702012, 0.00022122, -0.0405716, -0.0478961, 0.998707, -0.0150411, 0.00773619, -1.57831, -1.24328, 2.04875]"
"[0.00703727, 0.000226893, -0.0404983, -0.0479442, 0.998703, -0.015082, 0.00779412, -1.59076, -1.32792, 2.039]"
"[0.00704422, 0.000234703, -0.0404788, -0.0479978, 0.9987, -0.0151522, 0.00781394, -1.51612, -1.35113, 2.00938]"
"[0.00704754, 0.000241979, -0.0404754, -0.0480595, 0.998695, -0.0152293, 0.00782223, -1.48566, -1.34802, 1.9042]"
"[0.00704607, 0.00026041, -0.0404781, -0.0481557, 0.99869, -0.0152893, 0.00782446, -1.48978, -1.36145, 1.81696]"
"[0.00704675, 0.000299837, -0.0404777, -0.0484176, 0.998673, -0.0155253, 0.00783978, -1.47622, -1.38056, 1.72984]"
"[0.00706212, 0.000405736, -0.0404671, -0.049473, 0.998613, -0.0160146, 0.00795252, -1.3735, -1.25623, 1.6434]"
"[0.00708583, 0.000324499, -0.0404578, -0.0514862, 0.99851, -0.0159075, 0.00825194, -1.16504, -1.01965, 1.64705]"
"[0.00706283, 8.17388e-05, -0.0404884, -0.0539662, 0.998382, -0.0155711, 0.00860909, -1.30809, -0.833734, 1.55317]"
"[0.00708028, -3.55921e-05, -0.0404875, -0.0567183, 0.998232, -0.0151458, 0.00906577, -1.26449, -0.579929, 1.60729]"
"[0.0071181, -0.00013086, -0.0404678, -0.0591483, 0.998088, -0.0150528, 0.00949189, -1.16707, -0.618812, 1.49663]"
"[0.00716692, 2.15253e-05, -0.0404484, -0.0609511, 0.997979, -0.0148822, 0.00981839, -1.00398, -0.288256, 1.31932]"
